cluster_id;count;timespan;gap;locations;average_length;starting_title;starting_date;ending_date;end month;end decade;Span;ending_country;starting_country;starting_location;starting_year;all_locations;all_titles;all_countries;crossed;out_date;in_date;out_city;out_country;in_city;in_country;genre;first_text
cluster_31090835;4;8075;19;3;489;;1777-06-17T00:00:00Z;1799-07-27T00:00:00Z;7;1790;year+;Sweden;Sweden;Göteborg;1777;['Göteborg', 'Falun', 'Gävle'];['Götheborgs Allehanda', 'Fahlu Weckoblad', 'Weckoblad För Gefleborgs Län'];['Sweden'];;;;;;;;stories;ika mycket, en tok pä Fransvsta har äudä alrid er stags behag med sig. A Si, st, st.' han med stjernan, ,?m säg sä stint pä mig i Kungs-trägärden. Nu aro Frunt,mren förnuftigare, ak d? byta om m.den, och gä icke alt,d som hind i samma stinn. Den der Polsta Räcken sttler rä-t bra, Flickan är wäl wart, men somlige se dermed ut som Markattor. Si där kommer en. £5. Än den der. D-n ena apar efter den andra. Rätt nu wet man intet hwad man stal haswa pä sta. Tpst! Far kommer. I
cluster_4407473;4;7860;16;4;499;;1774-09-16T00:00:00Z;1796-03-24T00:00:00Z;3;1790;year+;Sweden;Finland;Turku;1774;['Turku', 'Göteborg', 'Stockholm', 'Falun'];['Tidningar Utgifne Af Et Sällskap I Åbo', 'Fahlu Weckoblad', 'Stockholmsposten', 'Hwad Nytt?'];['Finland', 'Sweden'];True;1774-09-16T00:00:00Z;1778-07-21T00:00:00Z;Turku;Finland;Göteborg;Sweden;stories;", hquald af et prägtigt twäng, S<un dyrkas uti Haf och .Stader, Sin ©afecf i en"" ÄeollkK^ Mg Han sig til ewisst minne quader. Roms wittra folk mig redan tunt Ibland dest bästa stalder gifwer; Mitt los gör Tadlecs nmga stum,, Och afwund mattas i sin ifwer. O Du, som om mm ära mon> Min hand pä lyran wä^des föra , Hwars magt kan böljans stumma fött Med Swancns röst begäfwad göra! Du ar des, Skaldmd, som mig lar At folkets åsyn til mia draga. Din nsd, din salla stänk set ar, ' . At jag kan lefwa och beha"
cluster_6796142;4;7533;14;3;897;;1777-07-31T00:00:00Z;1798-03-16T00:00:00Z;3;1790;year+;Sweden;Sweden;Stockholm;1777;['Stockholm', 'Karlskrona', 'Falun'];['Dagligt Allehanda', 'Fahlu Weckoblad', 'Carlscronas Wekoblad'];['Sweden'];;;;;;;;stories;ecdote. Uti et konsistorium i Tystland ffullc en gäng wäljas en Bistvp. Men som de Andelige Fäderne icke kunde komma öswerens hwem de ffullc wälja pä, sä bestöto de, at cn morgon göra cn Promcnadc en Corps öfwer en stor Bro. och dcn förste Präst de mötte ffullc dä blifwa Biffop. En fattig Präst, som hwarkcn hadc wänncr eller flägtingar, som willc räcka honom ha den och som intet hade annat at lcfwa utaf än der iilla han kundc winna genom fina Predikningar, räkade wid detta tilsällct at niöta Deråt Höawördighctcr. Han blcs nu utwald til Biffop och fcck et ganska rikt och betndeligt Stift. Sä snart hans lycka blcf kungjord, underlät» icke hans sa kallade wänner och släktingar at enhälligt inställa sig för at göra sin upwaktning, men alt i afngt, at därutas draga nägon erstilt fördel. Men han läddes, som han intet kände nä«on af dem. Hwem är Ni? frägade han dem — Jag har dcn ära
cluster_6796916;4;7105;15;4;761;;1780-02-19T00:00:00Z;1799-08-03T00:00:00Z;8;1790;year+;Sweden;Sweden;Stockholm;1780;['Stockholm', 'Göteborg', 'Falun', 'Gävle'];['Dagligt Allehanda', 'Fahlu Weckoblad', 'Götheborgska Nyheter', 'Weckoblad För Gefleborgs Län'];['Sweden'];;;;;;;;stories;"p. Lisa, utmattad af nattrock och arbete, flumrade gan-Ta hårbt. Brita, som ej kände faran häraf, lät henne sofwa, och cnligit sin fordna wänffas arbetade Subbelt, på det at Hon (kulle fä hwila fig. Men hwilken oförsigtig ömhet; Om morgonen dä hon stulle «äcka henne befant hon henne förqwafd af os. Hon ref härwiS ut fitt bår, flög sig för sitt bröst, samt bad Himmelcn om hiälp, med et ord, hon war i samma ställning som Sieltinnor i de gamla epi^a Poemertu. Hon ilåpaie ut Sen döda kroppen, stötte den i fria luften , upfrijkade den med kallt matten, inblåste t Sek fr» stelnade bröst sin warma och uplifwande anda. Men wcrkan af denna tjeasten blef lika sä beklaglig som den förra. Lisa qwickuade wid, men til at wara et lefwande och bedröfweligtt bewiS däruooa, at bäindca syneS sä wäl i smätt som i stort. Hon har blifwit galen och ropar stZndigt: Metwurst, Vränrvin Drän- zar, — Nec BOS decipiant blanda; raendacia lingua;Ovid . n a"
cluster_30794202;5;7071;17;3;1147;;1777-10-31T00:00:00Z;1797-03-11T00:00:00Z;3;1790;year+;Sweden;Finland;Turku;1777;['Turku', 'Stockholm', 'Gävle'];['Tidningar Utgifne Af Et Sällskap I Åbo', 'Stockholmsposten', 'Weckoblad För Gefleborgs Län'];['Finland', 'Sweden'];True;1777-10-31T00:00:00Z;1780-01-10T00:00:00Z;Turku;Finland;Stockholm;Sweden;advice;ligheten af denna smittan ar sä litet twifwelaktig, atr den, i synnerket i wäcare och warlnare årstider, kanneö l,ckta af dem, som gä ln i Ki)rtorne, dä inan nyfi öpnat dörariie. Man torde k nste tro, sa^r ,nt faran af Liks begr,,f,,il>g i lyrk^r dock icke ar sä stor, ftm den iltgifves för, och att oftare inf.illa>'d? erempcl dcraf b^de l^nqe sedan bm'dt föraniasa ombyte af d<!^tta qamia scde»,. Me»t desie augpr yppa sig endast pä sjclfwH Mkt, vch böra tt!i dem son, de angripa fi>:na b^mm Nerliga clii^iolitilincr, för att tarbalt knnna städa dcln. Hwcm kan i bfnqt fö.s/lkra, att de ej ar» orsaken til de m^,!>°,ie Fcbrar,ft>m tfta ödelägga de stölsta stader?' A»' dec ej nrg att man sctt mennistj^r angripna llfsäi>ane sjnkdomln si>m dcsie förrutn^de a^gor k>nu>a fördrsaka? Delta bekräftas anm» af en ny l'.andelse. I Staden 8?nlicu gick slstl. scd^^rii Manad en epidemisk ca^ri-n^I. febkr, i synxerhet af l?et slaget, som här. mer af ruten g.illa, dwars lvintoi^ei- ej woro sard les farlige och hw,n's ncgang sällan w,U' obehagelig. M?n Wan hade den Z i Domkyrkan deqrafpit en u:nl, som bafr ansenlig kropps fttma och som blifvit död i förenäm
cluster_4407281;4;6805;16;4;1240;;1778-05-15T00:00:00Z;1796-12-31T00:00:00Z;12;1790;year+;Sweden;Finland;Turku;1778;['Turku', 'Stockholm', 'Göteborg', 'Gävle'];['Tidningar Utgifne Af Et Sällskap I Åbo', 'Stockholmsposten', 'Götheborgska Nyheter', 'Weckoblad För Gefleborgs Län'];['Finland', 'Sweden'];True;1778-05-15T00:00:00Z;1780-03-08T00:00:00Z;Turku;Finland;Stockholm;Sweden;stories;"ammans kastades i en omatelig korg, och Själarne undfingo befallning att tillagna sig hwar en kropp pä en fiardedels timas tid. Dä bles en stor oreda. Fruntimmer togo i bradstan näsor, händer, m. m som woro ämnade ät manspersoner; en inan rakade fä i ett qwinfolks bro st, och som han icke wiste hwad han stulle göra dermed, sci kastade han det öfwer axlarne och deras blefwo puckelryggiKe; till en mans kropp togo somlige ett <In)inno« den och deraf äro h.^lte mennistjor komne; nä« gre som falt Frunnmmer^. dgnrgropar, singo mans ögon, som för att deri kunna rymmas, wasic klämmas ibop, och dcraf blefwo närsynte. Sa snart den af Gudarne fdre<krifne tiden lvar all, gick bwar och en nr korgen och började betrackla sig; dä blef man warse, att de ftäste hade mljinigit sia, nien det kunde ez andras mer. Glldarne tilläto allenast männerna att leta up qwinnor, som tagit lemmar, hwilka dem bort tillkomma, ock förena sig mcd de samma, sä att af bägges kroppar stulle blinva blott en. De männer som lefwa i godt föl stånd n:ed sina hnstrnr, aro sadane som hos dem igenfunnit lemmar horande till deras kroppar. De Makar som ej kunna förlikas sins imellan, aro äter de som ej träffat hos hwarandra luvad dcm felats; lnvad under dä om de"
cluster_31090827;6;6784;14;4;873;;1776-08-16T00:00:00Z;1795-03-14T00:00:00Z;3;1790;year+;Sweden;Sweden;Göteborg;1776;['Göteborg', 'Lund', 'Nyköping', 'Falun'];['Götheborgs Allehanda', 'Lunds Weckoblad', 'Nyköpings Weckoblad', 'Fahlu Weckoblad'];['Sweden'];;;;;;;;stories;". Scphrs ar ej stel; Hon wrt det, och är nog forgfnklig at wisa sina bchagellgheter; men hennes personlige aitraccioner, inbillar bon sig, äro tilläckelig ursakt för alla hennes swaghcter, hwarföre hon öfwcrlemnar sig stundom Lt de köjeligaste nycker. Hon är ostadig: hwad hon tycker om i dag, bar hon aftky för i morgon. Ae hon knäm, jjuknar h.n säkert af ledsnad, och klagar ak hennes wänner förgäta henne. Hon iiwi.erar alla: undertiden winkar hon lil de förbigäende. Nya eröfringar äro hennes lnst. Noa tilbedjare, dem hon blott wil haswa, men ej förnöja, ser hon ge na. Hon är ej rädd o,n kptzar, det minsta och mästa hon ger bort. Hon förargas utan at näg n förtörn-r benne. Hon sörjer osta för det hon icke har nLgoii ordsak ac sörja. H » faller ena stunden i en djup tystnad och wanmagt, den andra är hon pr och « omordcnkligen glad. Hos Manspersoner mitztagcr hon osta ytan för in.r wärdek , sto erdighet för sticklighet, titlar för förtjeuster. Hennes stalningar rö,a Hennes warma comvlepion. Hennes glödande kinder ock läng-ande ögon röja, jag wcl icke hwad. H n är för yr at tänka efter, hwad forn anstLr, eller icke. Hon käl ingen motsägelse, men smickrare linar hon gärna örooen. I hög gra"
cluster_8768013;5;6770;13;4;760;;1779-07-16T00:00:00Z;1798-01-27T00:00:00Z;1;1790;year+;Sweden;Sweden;Stockholm;1779;['Stockholm', 'Göteborg', 'Gävle', 'Falun'];['Dagligt Allehanda', 'Fahlu Weckoblad', 'Götheborgska Nyheter', 'Weckoblad För Gefleborgs Län'];['Sweden'];;;;;;;;opinion;"errar Concurs-Ztiftare. 3 fördragen wäl, mine Herrar, at jag i början af mitt bref smickrar Eder med en titul, som I knapt torden wilja kännas wid, fcdan I sä hushållat med Edra häfmor, at I menen Eder wara hos hederligt Folk mera wanaradc än högtärade. Jag wil bruka den manliga jkrifarten, för at beweka Eder til up»närksamhet wid detta brefrccté genomläsande. Men pä det ingen tan anse- mig för en säkm, som wil lägga sten pä den offyldigaS börda, bör jag straxt gifw» tilkZnna, at jag strifwer detta icke til de olyckeliga, sp.» genom eld eller wattcn, g&gt;?nom fiender eller bedragare, genom miswäxt ellcr förolyckad handtering, eller Mom andra wädeliga händelser, utan egit förwällande, rakat i sädan belägenhet, at de blifwit twunzne för« sätta andra i lidände med sig. Nej! hivar och en, som har Alännisto-hjärta, anser rcifit alla deba med öniaste sinnelag. Utan &gt;ag strifwer endast til dem, som genom wäilustig lefnad satt sig i gäld och skuld, och därmed sjelfwe gjordt stg i tiden, och kanske tillika i ewigheten »lyckeliga"
cluster_6796523;4;6734;13;3;735;;1779-08-21T00:00:00Z;1798-01-27T00:00:00Z;1;1790;year+;Sweden;Sweden;Göteborg;1779;['Göteborg', 'Gävle', 'Falun'];['Fahlu Weckoblad', 'Götheborgska Nyheter', 'Weckoblad För Gefleborgs Län'];['Sweden'];;;;;;;;opinion;"är I ändteligen hunnit förflösa det mästa af Edart goda, och upgifwenät Borgenärerne et ringa öfwerssott, finna de sig wara ffamlöst bedragne,^ det de pä god tro tjent Eder med län eller borgade waror; detze förlora dä, den ena mer, den andra mindre; och I lären icke förwänta, at de derföre skola önssa Eder allMns wälsignelft. Wiljen I icke sära Edra samweten med at wid upgifningen undandölja nägot af godset, sä mästen I ju tilbringa Edar öfriga lefnad i armod och elände, ja äfwen i sä stort förakt, som I förut trodt Eder wara he"
cluster_31773128;4;6622;10;3;423;;1776-09-07T00:00:00Z;1794-10-25T00:00:00Z;10;1790;year+;Sweden;Sweden;Karlstad;1776;['Karlstad', 'Gävle', 'Linköping'];['Carlstads Weckotidningar', 'Weckoblad För Gefleborgs Län', 'Linköpings Weckotidningar'];['Sweden'];;;;;;;;stories;"-ag-mäk, stälsor-, »fmrdäd,Bör, er ti! warning» utan nödMtd rågens stränghet hämnas.Nu star Markattan, full af nit,För hwart oqvädtngs,.or- en dit-'Fö» blänad mycket mera:Hwart HLrvrag blrf ti eller glömt rHmart korr.sar tioduddett --»t?Hon ffonre intetdera.Gist gjorde hon Procesten kortrA spottar erg hvn resten dort»Hwem kunde döma gråtit?EL stilgde h-« de Parker t«L»Och löt -en; frän fin Dvmstvl gä,Expenfis comptnjati"
cluster_4407400;4;6580;10;4;757;;1777-02-15T00:00:00Z;1795-02-21T00:00:00Z;2;1790;year+;Sweden;Finland;Turku;1777;['Turku', 'Stockholm', 'Nyköping', 'Falun'];['Tidningar Utgifne Af Et Sällskap I Åbo', 'Fahlu Weckoblad', 'Stockholmsposten', 'Nyköpings Weckotidningar'];['Finland', 'Sweden'];True;1777-02-15T00:00:00Z;1780-07-12T00:00:00Z;Turku;Finland;Stockholm;Sweden;stories;3 l « ar sä har jag dock min wisia natur och mitt mätt. Wälan, jag wil dä bewilja dig nägra ar mera, dem jag stall borttaga ifran desiaftr djuren, som du har hos dig, men med det wilkoret, att du stall hafwa deras satt at wara, det enas efter det andras. MelmistjcNl stall wara först Mast, i det hon kryper som banisin första barndcm: hon stall til femton ar hafwa en Fjärils fingsjghet , i sin ung« domen Päfogels bögmod: hon wäste i mandoms-ören undergä sä mänga arbeten som en Häst: wid femtjo är stall hon hafwa en Rass illistighetcr, och i sin älderdom wara ful och lbjelig som en Markatta. Det ar ungefarmennistjans öde i allmänhet. Harwid ar ännu at märka, at, oaktac 5upiter» godftet, detta djuret, dä man anser slagtet i allmänhet, endast har til det högst
cluster_8770906;4;6564;9;3;812;;1776-12-30T00:00:00Z;1794-12-20T00:00:00Z;12;1790;year+;Sweden;Sweden;Stockholm;1776;['Stockholm', 'Kalmar', 'Gävle'];['Dagligt Allehanda', 'Weckoblad För Gefleborgs Län', 'Weckotidning'];['Sweden'];;;;;;;;stories;"förenat. *\ men Henne Wälkommen Christe! Du med glädjes oljo smo-d. Wälkommen Jesu, Du, som of! af Gud är mord T'l Wisdom, at wi im° o§ af Lin kunstap gläda Och til R'ttfäldighct, i ftn wi cg få kläda, Til He gelfe, »t wi mä följa Dina spär Och 'il Förlovning si&gt;, när lifwet mälct när. O min Emanuel! wälkommen i mit hjärta At as Din födelse, Di» nöd. Din d!d och smärt», Jag fnigten »mta ma i en beängstad Själ, Som söker uti DM sit enda högsta wäl. Inför Din krubba jag i sivstet mig nedsänker. Ej Mil ram eller Guld, ej nägra rika stänker Jag har at bära fram: jag blott et hjärta ger Som i Dir späda fif fit lif och frälsning ser. tat mig Din födsso-fäst sa sira til Din ära, At Hjärta, Släl och Mun Dia rwigt lof hembära! Ja, ära, lof och pris, och tack til era i fl tia Ske Gud i högdene! och uppå jorden frid! U"
cluster_6796935;4;6517;16;4;1226;;1780-11-04T00:00:00Z;1798-09-08T00:00:00Z;9;1790;year+;Sweden;Sweden;Stockholm;1780;['Stockholm', 'Gävle', 'Falun', 'Göteborg'];['Fahlu Weckoblad', 'Stockholmsposten', 'Götheborgska Nyheter', 'Weckoblad För Gefleborgs Län'];['Sweden'];;;;;;;;news;"för honom Ack! Herre, ropar denna ilfluga Italienaren, jag har ej krafter dertil, det stär helt och hällit, i ert mäld at bemägtiga Er ffeppet, jag är allenast patzagerarc och wi komma frän Smirna. Capten är död af pesten, tillika med större delen af besättningen, det är intet öfwer mer än 6 man, färdiga at snart förgäs, om Ni ej är sä barmhertig och hjelper öst. Jag är sjelf, som Ni finner i yttersta fara, om jag längre mäste dröja pä detta besmittade stället. För Guds stutt, kom dä och hjelp öst. A! dra för Lusad d - - - ropade Kaparen, det skal wäl den od) den komma dig närmare. Jag wille intet ha ditt stepp om det ock wvre lastadt med alla Perus ffatter. Men jag är ju intet er fiende, swara-de Ragusarn, era fiender äro döda, eller och i sista själtäget; Förblanda mig dä intet med dem, ge mig ätminstone nägon hjelp. Ändteligen ester mycket rop och böner fick han några bouteiller ättika, somen Matros räckte ät honom pä en käng stäng, hwarpä Kaparn ffyndade sig undan det mästa han kunde hinna. Sädant ivar det knepet, forn den Fransta Capten betjente sig af, han har därigenom bewarat sin frihet och en gansta rik laddning, hwarföre hans Reddare ej lära försumma at belöna honom pä et sätt, som är"
